rank,full_name,pos,school_or_team,league,height_in,weight_lbs,age,notes
1,AJ Dybantsa,SF,BYU,ncaa,81,212,19.2,ESPN #1
2,Darryn Peterson,PG,Kansas,ncaa,78,205,19.1,ESPN #2
3,Cameron Boozer,PF,Duke,ncaa,81,250,18.7,ESPN #3
4,Caleb Wilson,PF,North Carolina,ncaa,82,215,19.7,ESPN #4
5,Keaton Wagler,PG,Illinois,ncaa,78,185,19.2,ESPN #5
6,Darius Acuff Jr.,PG,Arkansas,ncaa,75,190,19.4,ESPN #6
7,Kingston Flemings,PG,Houston,ncaa,76,190,19.3,ESPN #7
8,Nate Ament,SF,Tennessee,ncaa,82,207,19.3,ESPN #8
9,Mikel Brown Jr.,PG,Louisville,ncaa,77,190,20.0,ESPN #9
10,Brayden Burries,SG,Arizona,ncaa,76,205,20.6,ESPN #10
11,Karim Lopez,SF,New Zealand Breakers,nznbl,81,224,19.0,ESPN #11
12,Yaxel Lendeborg,PF,Michigan,ncaa,81,235,23.5,ESPN #12
13,Thomas Haugh,SF,Florida,ncaa,81,215,21.0,ESPN #13
14,Aday Mara,C,Michigan,ncaa,87,255,21.5,ESPN #14
15,Hannes Steinbach,PF,Washington,ncaa,83,229,19.0,ESPN #15
16,Labaron Philon Jr.,PG,Alabama,ncaa,75,175,19.5,ESPN #16
17,Braylon Mullins,SG,UConn,ncaa,78,196,18.8,ESPN #17
18,Chris Cenac Jr.,C,Houston,ncaa,83,240,18.5,ESPN #18
19,Christian Anderson,PG,Texas Tech,ncaa,75,178,19.5,ESPN #19
20,Jayden Quaintance,C,Kentucky,ncaa,82,255,18.8,ESPN #20
21,Isaiah Evans,SG,Duke,ncaa,78,180,19.0,ESPN #21
22,Koa Peat,PF,Arizona,ncaa,80,235,18.7,ESPN #22
23,Bennett Stirtz,PG,Iowa,ncaa,76,190,22.0,ESPN #23
24,Cameron Carr,SG,Baylor,ncaa,77,190,19.5,ESPN #24
25,Motiejus Krivas,C,Arizona,ncaa,86,260,21.4,ESPN #25
26,Dailyn Swain,SG,Texas,ncaa,80,225,20.7,ESPN #26
27,Morez Johnson Jr.,PF,Michigan,ncaa,81,250,20.2,ESPN #27
28,Meleek Thomas,SG,Arkansas,ncaa,77,185,19.7,ESPN #28
29,Amari Allen,SF,Alabama,ncaa,80,205,20.2,ESPN #29
30,Alex Condon,C,Florida,ncaa,83,222,21.7,ESPN #30
31,Dame Sarr,SG,Duke,ncaa,80,190,19.8,ESPN #31
32,Allen Graves,PF,Santa Clara,ncaa,81,215,19.7,ESPN #32
33,Tyler Tanner,PG,Vanderbilt,ncaa,72,173,20.2,ESPN #33
34,Patrick Ngongba II,C,Duke,ncaa,83,250,20.1,ESPN #34
35,Joshua Jefferson,SF,Iowa State,ncaa,81,240,22.4,ESPN #35
36,Alex Karaban,SF,UConn,ncaa,80,230,23.4,ESPN #36
37,Zuby Ejiofor,C,St. John's,ncaa,81,245,22.0,ESPN #37
38,Ebuka Okorie,PG,Stanford,ncaa,74,185,19.0,ESPN #38
39,Juke Harris,SG,Wake Forest,ncaa,79,200,20.7,ESPN #39
40,Tounde Yessoufou,SF,Baylor,ncaa,77,215,19.9,ESPN #40
41,Luigi Suigo,C,Mega Basket,euroleague,86,250,19.2,ESPN #41
42,Tarris Reed Jr.,C,UConn,ncaa,83,265,22.7,ESPN #42
43,Milan Momcilovic,PF,Iowa State,ncaa,80,220,21.5,ESPN #43
44,Henri Veesaar,C,North Carolina,ncaa,84,225,22.0,ESPN #44
45,Braden Smith,PG,Purdue,ncaa,72,170,22.7,ESPN #45
46,Ryan Conwell,SG,Louisville,ncaa,76,215,21.8,ESPN #46
47,Pryce Sandfort,SG,Nebraska,ncaa,79,200,21.3,ESPN #47
48,Sergio de Larrea,PG,Valencia,euroleague,79,190,20.3,ESPN #48
49,Dash Daniels,PG,Melbourne United,nbl,77,190,18.3,ESPN #49
50,Flory Bidunga,C,Kansas,ncaa,82,235,20.9,ESPN #50
51,Joseph Tugler,PF,Houston,ncaa,80,230,21.3,ESPN #51
52,Alijah Arenas,SG,USC,ncaa,78,199,19.1,ESPN #52
53,Paul McNeil Jr.,SG,NC State,ncaa,77,195,20.0,ESPN #53
54,Jaden Bradley,PG,Arizona,ncaa,75,195,22.6,ESPN #54
55,Baba Miller,PF,Cincinnati,ncaa,83,210,22.2,ESPN #55
56,Richie Saunders,SG,BYU,ncaa,77,205,24.6,ESPN #56
57,Rueben Chinyelu,C,Florida,ncaa,82,265,22.5,ESPN #57
58,Adam Atamna,SG,ASVEL,euroleague,78,185,18.3,ESPN #58
59,Matthew Able,SF,NC State,ncaa,80,200,19.7,ESPN #59
60,Malachi Moreno,C,Kentucky,ncaa,84,235,19.5,ESPN #60
61,JT Toppin,PF,Texas Tech,ncaa,81,215,20.8,ESPN #61
62,Ugonna Onyenso,C,Virginia,ncaa,83,245,22.0,ESPN #62
63,Michael Ruzic,PF,Joventut,euroleague,82,205,19.5,ESPN #63
64,Bruce Thornton,PG,Ohio State,ncaa,75,215,22.6,ESPN #64
65,Tomislav Ivisic,C,Illinois,ncaa,85,230,22.7,ESPN #65
66,Kylan Boswell,PG,Illinois,ncaa,74,194,21.0,ESPN #66
67,Emanuel Sharp,SG,Houston,ncaa,75,195,22.1,ESPN #67
68,Solo Ball,SG,UConn,ncaa,75,185,22.3,ESPN #68
69,Milos Uzan,PG,Houston,ncaa,75,186,23.3,ESPN #69
70,KJ Lewis,SG,Georgetown,ncaa,76,200,21.7,ESPN #70
71,Nolan Winter,PF,Wisconsin,ncaa,84,230,21.4,ESPN #71
72,Andrej Stojakovic,SG,Illinois,ncaa,79,205,21.6,ESPN #72
73,Jeremy Fears Jr.,PG,Michigan State,ncaa,74,190,21.0,ESPN #73
74,Tyler Nickel,SG,Vanderbilt,ncaa,79,210,22.6,ESPN #74
75,Ja'Kobi Gillespie,PG,Tennessee,ncaa,73,188,22.1,ESPN #75
76,Tamin Lipsey,PG,Iowa State,ncaa,73,190,22.8,ESPN #76
77,Maliq Brown,PF,Duke,ncaa,81,220,22.4,ESPN #77
78,Trevon Brazile,PF,Arkansas,ncaa,82,220,23.2,ESPN #78
79,Tyler Bilodeau,PF,UCLA,ncaa,82,220,22.0,ESPN #79
80,John Blackwell,SG,Wisconsin,ncaa,76,195,21.3,ESPN #80
81,Zvonimir Ivisic,C,Illinois,ncaa,86,235,22.7,ESPN #81
82,Mouhamed Faye,PF,Paris Basket,euroleague,82,230,21.2,ESPN #82
